"LANGUAGE","Français"
"RON_NAM","RON: the network replacer"
"RON_DESC","un outil pour remplacer les réseaux."
"RON_PNL_MAP","Réseaux sur la carte"
"RON_PNL_AVA","Remplacements disponibles"
"RON_PNL_NET","Réseau"
"RON_PNL_CRE","Créateur"
"RON_PNL_REP","REMPLACER TOUT"
"RON_PNL_RES","REMPLACER"
"RON_PNL_DEL","TOUT SUPPRIMER"
"RON_PNL_DES","SUPPRIMER"
"RON_PNL_UND","Annuler"
"RON_PNL_VPS","Voir segment précédent"
"RON_PNL_VNS","Voir segment suivant"
"RON_PNL_GLB","Remplacer globalement"
"RON_PNL_DIS","Remplacer dans le même quartier seulement"
"RON_PNL_SEG","Remplacer un segment individuel"
"RON_PNL_HDV","Masquer vanilla et NExt"
"RON_PNL_WID","Même largeur seulement"
"RON_PNL_ADV","Afficher tous les types de réseaux (AVANCÉ)"
"RON_PNL_TYP","Type de réseau"
"RON_PNL_ROA","Routes - surface seulement"
"RON_PNL_ROB","Routes - élévées et ponts"
"RON_PNL_ROT","Routes - tunnels"
"RON_PNL_PZA","Voies de zone piétonne - surface seulement"
"RON_PNL_PZB","Voies de zone piétonne - élévées et ponts"
"RON_PNL_RAI","Rails - surface seulement"
"RON_PNL_RAB","Rails - élévés et ponts"
"RON_PNL_RAT","Rails - tunnels"
"RON_PNL_MTI","Métro - surface seulement"
"RON_PNL_MTB","Métro - élevés et ponts"
"RON_PNL_MTT","Métro - tunnels"
"RON_PNL_MOI","Monorail"
"RON_PNL_PED","Chemins - surface uniquement"
"RON_PNL_PEB","Chemins - élevés et ponts"
"RON_PNL_PET","Chemins - tunnels"
"RON_PNL_PEA","Chemins - campus et parcs"
"RON_PNL_DEC","Décorations"
"RON_PNL_ELI","Lignes électriques"
"RON_PNL_QUA","Quais"
"RON_PNL_CAN","Canaux"
"RON_PNL_PIP","Tuyaux"
"RON_PNL_RUN","Pistes aéroportuaires"
"RON_PNL_TAX","Voies de circulations"
"RON_PNL_CON","Jetées aéroportuaires"
"RON_PNL_RIP","Remplacement en cours"
"RON_STA_CUS","Personnaliser les pistes"
"RON_STA_RAO","Rail uniquement"
"RON_STA_MTO","Métro uniquement"
"RON_STA_RAM","Rail et métro"
"RON_TIP_VAN","Ce réseau est un réseau Vanilla (partie intégrante du jeu de base)."
"RON_TIP_NEX","Ce réseau provient du mod NExt2."
"RON_TIP_MOD","Ce réseau provient d'un mod."
"RON_TIP_STA","Il s'agit d'un rail de station et ne devrait être utilisé que comme partie d'une station."
"RON_TIP_ELE","Réseaux élevés"
"RON_TIP_BRI","Réseau de pont"
"RON_TIP_TUN","Réseau du tunnel"
"RON_FIL_NAME","Recherche :"
"RON_OPT_RRP","Afficher le remplacement des rails lors du placement des bâtiments ferroviaires"
"RON_OPT_ADV","Activer le mode avancé"
"RON_OPT_ADV2","(active le remplacement par différents types de réseau)"
"RON_OPT_NEX","Remplacer automatiquement les routes manquantes de Network Extension 2 au chargement"
"RON_OPT_NEX2","(vous devez être abonné à la collection de remplacement)"
"RON_OPT_NAR","Remplacer automatiquement les rails nord-américains (NAR) manquants lors du chargement avec :"
"RON_OPT_NAR2","(les actifs de remplacement ou les mods pertinents doivent être abonnés)"
"RON_OPT_MOM","Remplacer automatiquement les pistes manquantes de Metro Overhaul Mod (MOM) à la charge"
"RON_OPT_NAR_R2","Chemin de fer 2 USA"
"RON_OPT_NAR_BP","Vanilla/BloodyPenguin/BadPeanut"
"RON_WAR_DES","Êtes-vous sûr de vouloir supprimer ce segment de réseau ?"
"RON_WAR_DEL","Êtes-vous sûr de vouloir supprimer tous ces segments de réseau ?"
"RON_WAR_UND","Cette action est irréversible !"
"KEY_KEY","Raccourcis clavier"
"ERR_NXT","RON n'a pas pu remplacer les réseaux suivants sur cette carte, car les remplacements nécessaires n'étaient pas disponibles (désactivés ou non abonnés) :"
"MES_PAGE","Veuillez vous référer à la page Steam Workshop du mod pour plus d'informations."
