"LANGUAGE","Nederlands"
"RON_NAM","RON: the network replacer"
"RON_DESC","een tool om netwerken te vervangen."
"RON_PNL_MAP","Netwerken op deze kaart"
"RON_PNL_AVA","Beschikbare vervangingen"
"RON_PNL_NET","Netwerk"
"RON_PNL_CRE","Maker"
"RON_PNL_REP","ALLES VERVANGEN"
"RON_PNL_RES","VERVANGEN"
"RON_PNL_DEL","ALLES WISSEN"
"RON_PNL_DES","WISSEN"
"RON_PNL_UND","Ongedaan maken"
"RON_PNL_VPS","Vorige segment tonen"
"RON_PNL_VNS","Volgende segment tonen"
"RON_PNL_GLB","Vervang alles"
"RON_PNL_DIS","Vervang enkel in hetzelfde district"
"RON_PNL_SEG","Vervang enkel het segment"
"RON_PNL_HDV","Verberg vanilla en NExt"
"RON_PNL_WID","Enkel met dezelfde breedte"
"RON_PNL_ADV","Toon alle netwerk types (GEAVANCEERD)"
"RON_PNL_TYP","Netwerk type"
"RON_PNL_ROA","Wegen - Oppervlakte"
"RON_PNL_ROB","Wegen - Verhoogd en bruggen"
"RON_PNL_ROT","Wegen - Tunnels"
"RON_PNL_RAI","Spoor - Oppervlakte"
"RON_PNL_RAB","Spoor - Verhoogd en bruggen"
"RON_PNL_RAT","Spoor - Tunnels"
"RON_PNL_MTI","Metro - Oppervlakte"
"RON_PNL_MTB","Metro - Verhoogd en bruggen"
"RON_PNL_MTT","Metro - Tunnels"
"RON_PNL_MOI","Monorail"
"RON_PNL_PED","Paden - Oppervlakte"
"RON_PNL_PEB","Paden - Verhoogd en bruggen"
"RON_PNL_PET","Paden - Tunnels"
"RON_PNL_PEA","Paden - Campus- en parkgebieden"
"RON_PNL_DEC","Decoratie"
"RON_PNL_ELI","Elektriciteitskabels"
"RON_PNL_QUA","Kaaien"
"RON_PNL_CAN","Kanalen"
"RON_PNL_PIP","Pijpleidingen"
"RON_PNL_RUN","Landingsbanen van luchthaven"
"RON_PNL_TAX","Taxibanen van luchthaven"
"RON_PNL_CON","Hallen van luchthaven"
"RON_PNL_RIP","Vervanging aan de gang"
"RON_STA_CUS","Sporen aanpassen"
"RON_STA_RAO","Alleen spoor"
"RON_STA_MTO","Alleen metro"
"RON_STA_RAM","Spoor en metro"
"RON_TIP_VAN","Dit is een vanilla netwerk (onderdeel van het basisspel)."
"RON_TIP_NEX","Dit netwerk is van Network Extensions 2 (NExt2)."
"RON_TIP_MOD","Dit netwerk is van een mod."
"RON_TIP_STA","Dit is een stationsspoor en mag enkel worden gebruikt als onderdeel van een station."
"RON_TIP_ELE","Verhoogd netwerk"
"RON_TIP_BRI","Bruggennetwerk"
"RON_TIP_TUN","Tunnelnetwerk"
"RON_FIL_NAME","Zoeken:"
"RON_OPT_RRP","Toon spoor-vervanger bij het plaatsen van spoorweggebouwen"
"RON_OPT_ADV","Geavanceerde modus inschakelen"
"RON_OPT_ADV2","(maakt vervanging met andere netwerktypes mogelijk)"
"RON_OPT_NEX","Ontbrekende Network Extension 2 wegen automatisch vervangen bij het laden"
"RON_OPT_NEX2","(Een collectie met vervangende wegen moet worden geabonneerd)"
"RON_OPT_NAR","Ontbrekende North American Rails (NAR) sporen automatisch vervangen met:"
"RON_OPT_NAR2","(er moet worden geabonneerd op relevante vervangende assets of mods)"
"RON_OPT_MOM","Ontbrekende Metro Overhaul Mod (MOM) sporen automatisch vervangen met:"
"RON_OPT_NAR_R2","Railway 2 USA"
"RON_OPT_NAR_BP","Vanilla/BloodyPenguin/BadPeanut"
"RON_WAR_DES","Weet je ZEKER dat je dit netwerksegment wilt verwijderen?"
"RON_WAR_DEL","Weet je ZEKER dat je al deze netwerksegmenten wilt verwijderen?"
"RON_WAR_UND","Deze actie kan niet ongedaan worden gemaakt!"
"TRN_CHOICE","Taal instellen"
"LANGUAGE_GAME","Gebruik speltaal"
"KEY_KEY","Sneltoets"
"KEY_PRS","Druk op een toets"
"ERR_NXT","RON kon de volgende netwerken op deze kaart niet vervangen omdat de nodige vervangende wegen niet beschikbaar zijn. (Gedeactiveerd of niet geabonneerd):"
"MES_CLS","Sluiten"
"MES_PAGE","Er is meer informatie hierover op de Steam Workshop pagina van de mod."
"NO","Nee"
"YES","Ja"
